,HOUSEID,HOMEOWN,HHFAMINC,WALK,BIKE,TAXI,BUS,TRAIN,PRICE,PLACE,WALK2SAVE,BIKE2SAVE,PTRANS,HHRELATD,CNTTDHH,NUMADLT,YOUNGCHILD,WRKCOUNT,LIF_CYC,RAIL,URBAN,URBANSIZE,CDIVMSAR,WEBUSE17,DRVRCNTPROP,WRKCOUNT_ratio,NUMADLT_ratio,YOUNGCHILD_ratio,HHSIZE_cleaned,VEHOWN
69472,40011762,HOME_OWN,10,2,Rarely,-9,-9,4,2,3,4,4,4,1,5,1.0,0.0,0.5,10,2,1,3,23,Daily,1.0,>0.5,1,0,2,1
69488,40011981,HOME_OWN,4,NA,NA,-9,-9,-9,3,3,4,NA,NA,2,5,1.0,0.0,0.0,9,2,1,1,23,Never,1.0,0,1,0,1,1
69489,40011987,HOME_OWN,4,NA,NA,3,3,3,2,2,NA,NA,2,2,13,1.0,0.0,0.0,10,1,1,5,21,Rarely,1.0,0,1,0,2,0
69505,40012196,HOME_OWN,4,2,Rarely,5,5,5,1,3,4,4,4,2,6,1.0,0.0,0.0,10,2,4,6,24,Daily,1.0,0,1,0,2,1
69506,40012203,HOME_OWN,7,NA,NA,-9,-9,4,3,3,4,4,4,1,2,1.0,0.0,0.5,10,2,1,3,22,Daily,1.0,>0.5,1,0,2,1
69508,40012218,HOME_OWN,11,3,Rarely,4,5,4,5,2,4,4,4,1,9,0.6666666666666666,0.0,0.6666666666666666,6,2,2,6,22,Daily,0.6666666666666666,>0.5,>0.5,0,>2,1
69534,40012595,NA,NA,3,Never,5,5,5,1,2,2,4,4,1,2,1.0,0.0,0.3333333333333333,10,1,4,6,21,Rarely,0.3333333333333333,<0.5,1,0,>2,1
69543,40012682,HOME_OWN,6,2,Never,5,5,5,2,1,3,3,3,2,6,1.0,0.0,0.0,9,2,4,6,24,Daily,1.0,0,1,0,1,1
69563,40012880,HOME_OWN,8,2,Rarely,5,5,5,1,1,5,5,5,2,4,1.0,0.0,1.0,1,2,4,6,24,Daily,1.0,1,1,0,1,1
69567,40012928,HOME_OWN,7,1,Rarely,5,5,4,2,2,4,4,4,1,7,1.0,0.0,0.0,10,2,1,3,23,Daily,1.0,0,1,0,2,1
69579,40013156,HOME_RENT,3,1,Never,4,4,4,1,1,3,3,4,2,6,1.0,0.0,0.0,9,2,1,2,23,Daily,1.0,0,1,0,1,1
69599,40013401,HOME_OWN,7,2,Never,4,5,4,4,NA,3,4,4,1,2,1.0,0.0,0.5,2,1,1,5,21,Daily,1.0,>0.5,1,0,2,1
69616,40013660,HOME_OWN,5,1,Never,5,4,5,2,2,2,5,4,2,4,1.0,0.0,0.0,9,2,1,1,23,Never,1.0,0,1,0,1,1
69640,40013957,HOME_OWN,NA,2,Never,5,5,5,2,2,3,5,5,2,3,1.0,0.0,0.0,9,2,1,1,23,Daily,1.0,0,1,0,1,1
69646,40014042,HOME_RENT,4,2,Never,5,4,4,1,1,3,5,3,1,7,1.0,0.0,1.0,2,2,4,6,24,Daily,1.0,1,1,0,2,1
69653,40014151,HOME_OWN,9,5,Never,5,5,5,2,3,5,5,5,1,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,1,1,2,21,Daily,0.3333333333333333,<0.5,<0.5,<0.5,>2,1
69668,40014410,HOME_OWN,5,2,Never,5,5,5,4,4,4,5,5,1,2,1.0,0.0,0.0,10,2,1,1,23,Daily,1.0,0,1,0,2,1
69671,40014477,HOME_OWN,6,5,Never,5,5,5,5,5,NA,NA,NA,1,4,1.0,0.0,0.3333333333333333,10,1,1,2,21,Daily,1.0,<0.5,1,0,>2,1
69697,40014771,HOME_OWN,6,4,Never,5,5,5,2,2,4,5,4,2,8,1.0,0.0,0.0,9,2,4,6,22,Never,1.0,0,1,0,1,1
69715,40015066,HOME_OWN,3,2,NA,-9,-9,-9,3,3,2,3,4,1,0,1.0,0.0,0.0,10,2,4,6,24,Daily,1.0,0,1,0,2,1
69724,40015163,HOME_OWN,6,5,Never,5,5,5,4,4,5,5,5,1,10,1.0,0.0,0.3333333333333333,10,2,4,6,24,Daily,1.0,<0.5,1,0,>2,1
69725,40015166,HOME_RENT,5,4,Never,5,5,5,2,3,2,3,3,2,2,1.0,0.0,1.0,1,2,1,3,22,Daily,1.0,1,1,0,1,1
69729,40015234,HOME_OWN,5,2,Never,5,5,4,1,2,5,5,5,2,8,1.0,0.0,0.0,9,1,4,6,21,Daily,1.0,0,1,0,1,1
69755,40015451,HOME_OWN,6,5,Never,5,5,5,1,1,3,3,3,1,6,1.0,0.0,0.6,8,2,4,6,23,Daily,1.0,>0.5,1,0,>2,1
69780,40015886,HOME_RENT,3,1,Never,3,1,4,3,3,2,3,1,2,3,1.0,0.0,0.0,1,1,1,2,21,Never,0.0,0,1,0,1,0
69781,40015889,HOME_OWN,5,5,Never,5,5,5,1,3,5,5,5,2,4,1.0,0.0,0.0,9,2,1,2,23,Daily,1.0,0,1,0,1,1
69782,40015893,HOME_OWN,11,1,Never,2,2,2,5,4,2,5,1,1,5,1.0,0.0,1.0,2,1,4,6,21,Daily,1.0,1,1,0,2,1
69785,40015948,HOME_OWN,7,NA,NA,-9,-9,-9,2,2,4,4,4,1,10,1.0,0.0,0.0,10,2,4,6,24,Daily,1.0,0,1,0,2,1
69788,40015982,HOME_OWN,10,1,NA,-9,3,3,4,4,3,3,3,1,9,1.0,0.0,0.5,10,1,1,5,21,Daily,1.0,>0.5,1,0,2,1
69791,40016006,HOME_OWN,5,3,Rarely,5,5,5,1,1,4,4,5,1,6,1.0,0.0,0.5,2,2,2,6,22,Daily,1.0,>0.5,1,0,2,1
69792,40016041,HOME_OWN,1,2,Never,5,5,5,1,1,4,5,5,1,6,0.4,0.0,0.0,6,2,4,6,23,Daily,0.2,0,<0.5,0,>2,1
69797,40016136,HOME_RENT,3,2,Never,4,5,5,2,3,4,5,5,2,5,1.0,0.0,0.0,1,2,1,1,23,Daily,1.0,0,1,0,1,1
69801,40016172,HOME_OWN,5,NA,NA,-9,-9,-9,2,3,5,5,5,1,10,1.0,0.0,0.0,10,2,4,6,24,Never,1.0,0,1,0,2,1
69802,40016213,HOME_OWN,7,5,Never,5,5,4,1,1,3,3,3,1,2,1.0,0.0,0.5,2,2,1,1,23,Daily,1.0,>0.5,1,0,2,1
69806,40016272,HOME_OWN,5,5,Never,5,5,5,2,2,5,5,5,1,5,0.5,0.0,0.5,5,2,1,1,23,Daily,0.5,>0.5,>0.5,0,2,1
69825,40016516,HOME_OWN,7,4,Never,-9,4,4,5,2,3,5,1,2,5,1.0,0.0,1.0,1,1,4,6,21,Daily,1.0,1,1,0,1,1
69838,40016659,HOME_OWN,11,1,Never,5,5,5,3,3,4,5,4,1,2,1.0,0.0,0.5,10,2,4,6,23,Daily,1.0,>0.5,1,0,2,1
69857,40016974,HOME_RENT,2,3,Rarely,5,5,5,1,1,2,2,5,2,5,1.0,0.0,0.0,9,2,1,1,23,Rarely,1.0,0,1,0,1,1
69866,40017045,HOME_OWN,11,5,Never,3,4,4,5,5,5,5,5,1,8,0.5,0.0,0.5,6,2,4,6,23,Daily,0.5,>0.5,>0.5,0,>2,1
69872,40017074,HOME_OWN,8,4,Rarely,4,-9,4,2,3,4,4,2,1,9,0.5,0.25,0.5,4,2,1,3,22,Daily,0.5,>0.5,>0.5,<0.5,>2,1
69885,40017207,HOME_OWN,4,1,Never,5,5,4,3,3,5,5,5,2,14,1.0,0.0,0.0,9,2,2,6,24,Daily,1.0,0,1,0,1,1
69893,40017309,HOME_OWN,8,4,Never,5,5,5,5,4,5,5,5,1,6,0.5,0.25,0.5,4,2,4,6,23,Daily,0.5,>0.5,>0.5,<0.5,>2,1
69894,40017315,HOME_RENT,1,4,Never,4,3,5,5,2,4,NA,3,2,0,1.0,0.0,0.0,1,2,2,6,23,Never,1.0,0,1,0,1,0
69895,40017329,HOME_OWN,7,3,Never,5,5,5,2,3,2,3,3,1,6,1.0,0.0,0.0,10,2,1,2,23,Daily,1.0,0,1,0,2,1
69899,40017362,HOME_RENT,2,2,Never,5,5,5,2,3,3,4,4,2,0,1.0,0.0,0.0,9,2,1,3,22,Daily,1.0,0,1,0,1,1
69909,40017494,HOME_OWN,6,1,Never,4,5,4,1,2,3,NA,4,2,7,1.0,0.0,1.0,1,1,1,5,21,Daily,1.0,1,1,0,1,1
69924,40017764,HOME_RENT,3,5,Never,5,5,5,4,4,4,4,4,2,5,1.0,0.0,0.0,9,2,1,2,23,Daily,1.0,0,1,0,1,1
69926,40017793,HOME_OWN,6,2,Rarely,5,5,5,1,4,4,4,4,1,6,0.6666666666666666,0.0,0.6666666666666666,6,2,1,3,22,Daily,0.6666666666666666,>0.5,>0.5,0,>2,1
69944,40017948,HOME_OWN,6,2,Rarely,5,5,5,4,4,4,4,4,1,4,1.0,0.0,0.5,10,2,4,6,24,Daily,1.0,>0.5,1,0,2,1
69956,40018065,HOME_OWN,10,3,Never,4,4,4,3,3,3,3,3,1,0,1.0,0.0,0.0,10,1,1,5,21,Daily,1.0,0,1,0,2,1
69966,40018210,HOME_OWN,6,5,Never,5,5,5,5,3,5,5,5,1,6,1.0,0.0,0.0,10,2,4,6,23,Daily,1.0,0,1,0,2,1
69969,40018268,NA,1,3,Never,5,5,5,4,3,3,3,3,1,0,1.0,0.0,0.0,10,2,4,6,24,Daily,0.5,0,1,0,2,1
69973,40018301,HOME_OWN,5,2,Never,5,5,5,3,3,3,3,3,2,0,1.0,0.0,1.0,1,1,1,2,21,Daily,1.0,1,1,0,1,1
69988,40018401,HOME_OWN,6,2,Never,5,5,5,4,4,4,4,4,1,2,1.0,0.0,0.0,10,2,4,6,23,Daily,1.0,0,1,0,2,1
69991,40018412,HOME_OWN,6,4,Never,5,5,5,2,3,4,4,4,1,15,0.5,0.0,0.25,6,2,4,6,22,Daily,0.5,<0.5,>0.5,0,>2,1
69998,40018542,HOME_RENT,1,1,Never,5,5,5,4,2,2,3,3,2,2,1.0,0.0,1.0,1,2,2,6,24,Daily,1.0,1,1,0,1,0
70005,40018690,HOME_OWN,4,NA,NA,-9,-9,-9,1,NA,NA,NA,NA,2,12,1.0,0.0,0.5,10,2,1,1,23,Never,1.0,>0.5,1,0,2,1
70008,40018741,HOME_OWN,7,4,Never,4,5,5,1,3,5,5,5,1,2,0.6666666666666666,0.0,0.6666666666666666,6,2,1,1,23,Daily,0.6666666666666666,>0.5,>0.5,0,>2,1
70011,40018796,HOME_OWN,9,4,Never,5,5,5,1,1,3,5,5,1,9,1.0,0.0,1.0,2,1,1,5,21,Daily,1.0,1,1,0,>2,1
70012,40018802,HOME_RENT,6,3,Never,5,5,5,1,1,4,5,5,2,5,1.0,0.0,1.0,1,2,4,6,24,Daily,1.0,1,1,0,1,1
70017,40018856,HOME_OWN,8,4,Never,5,5,5,2,2,3,3,3,1,0,1.0,0.0,0.5,10,2,4,6,24,Daily,1.0,>0.5,1,0,2,1
70039,40019130,HOME_OWN,8,5,Never,5,5,5,1,3,5,5,5,1,12,1.0,0.0,1.0,2,2,1,2,23,Daily,1.0,1,1,0,2,1
70040,40019133,HOME_OWN,6,1,Rarely,4,1,1,1,1,2,3,1,2,0,1.0,0.0,1.0,1,1,1,5,21,Daily,1.0,1,1,0,1,1
70041,40019144,HOME_OWN,10,5,Never,5,5,5,3,4,4,4,4,1,8,1.0,0.0,0.0,10,2,4,6,23,Daily,1.0,0,1,0,2,1
70045,40019196,HOME_OWN,7,1,Never,5,5,5,5,3,4,5,5,1,8,1.0,0.0,1.0,2,2,1,2,23,Daily,1.0,1,1,0,2,1
70046,40019233,HOME_OWN,5,3,Never,5,5,5,5,NA,5,3,3,2,7,1.0,0.0,0.0,9,2,1,1,23,Daily,1.0,0,1,0,1,1
70048,40019241,HOME_OWN,8,5,Never,5,5,5,4,3,5,5,5,1,9,0.6666666666666666,0.0,0.6666666666666666,8,2,4,6,23,Rarely,0.6666666666666666,>0.5,>0.5,0,>2,1
70060,40019345,HOME_OWN,5,1,Rarely,4,5,4,4,3,4,4,2,2,3,1.0,0.0,1.0,1,2,4,6,22,Daily,1.0,1,1,0,1,1
70062,40019354,HOME_OWN,6,3,Never,4,4,5,3,3,4,4,4,1,4,1.0,0.0,0.0,10,2,4,6,23,Daily,1.0,0,1,0,2,1
70076,40019583,HOME_OWN,8,3,Rarely,4,4,4,3,3,2,2,2,1,11,1.0,0.0,0.5,10,2,1,1,23,Daily,1.0,>0.5,1,0,2,1
70086,40019667,HOME_OWN,9,NA,Never,5,5,5,2,4,5,5,5,1,0,1.0,0.0,1.0,2,2,4,6,22,Daily,1.0,1,1,0,2,1
70099,40019759,HOME_OWN,10,3,Rarely,5,5,4,3,3,2,3,5,1,6,0.6666666666666666,0.0,0.6666666666666666,8,2,1,3,23,Daily,1.0,>0.5,>0.5,0,>2,1
70100,40019775,HOME_OWN,5,5,Never,4,5,4,1,2,4,5,4,1,3,1.0,0.0,0.5,2,1,1,2,21,Daily,1.0,>0.5,1,0,2,1
70102,40019789,HOME_OWN,9,2,Rarely,5,5,4,2,2,3,4,2,1,5,1.0,0.0,1.0,2,1,1,2,21,Daily,1.0,1,1,0,2,1
70105,40019803,HOME_OWN,7,1,Never,2,1,1,4,2,2,5,1,1,4,1.0,0.0,1.0,2,1,1,5,21,Daily,0.5,1,1,0,2,0
70118,40020007,HOME_RENT,7,5,Never,4,5,5,2,3,5,5,5,1,10,1.0,0.0,1.0,2,2,1,3,22,Daily,1.0,1,1,0,2,1
70124,40020125,HOME_OWN,7,4,Never,5,5,5,4,4,4,4,4,1,16,1.0,0.0,0.0,10,2,1,1,23,Rarely,1.0,0,1,0,2,1
70126,40020149,HOME_OWN,5,5,Never,5,5,4,4,4,5,5,5,1,16,0.5,0.0,0.75,6,1,1,2,21,Daily,0.75,>0.5,>0.5,0,>2,1
70141,40020360,HOME_OWN,10,3,Never,-9,5,4,4,2,4,5,5,1,9,1.0,0.0,0.5,10,1,1,5,21,Daily,1.0,>0.5,1,0,2,1
70146,40020443,HOME_OWN,10,3,Rarely,5,5,4,4,3,4,4,4,1,9,1.0,0.0,0.75,8,1,1,5,21,Daily,1.0,>0.5,1,0,>2,1
70157,40020659,HOME_RENT,6,3,Never,4,5,4,5,3,4,3,3,2,6,1.0,0.0,1.0,1,2,1,1,23,Daily,1.0,1,1,0,1,1
70163,40020749,HOME_OWN,4,1,Rarely,5,5,5,1,2,2,3,3,2,2,1.0,0.0,0.0,1,2,1,3,22,Daily,1.0,0,1,0,1,1
70166,40020854,HOME_OWN,6,1,Never,5,1,4,4,2,1,3,1,2,2,1.0,0.0,1.0,1,2,1,3,23,Daily,1.0,1,1,0,1,1
70176,40020997,HOME_OWN,4,1,Never,-9,5,5,3,3,3,3,3,2,3,1.0,0.0,1.0,9,2,2,6,23,Daily,1.0,1,1,0,1,1
70182,40021044,HOME_OWN,6,2,Rarely,4,5,4,3,2,4,4,2,2,3,1.0,0.0,0.0,1,2,1,3,22,Daily,1.0,0,1,0,1,1
70188,40021102,HOME_OWN,9,2,Rarely,5,5,5,2,3,3,3,3,1,7,1.0,0.0,0.5,10,2,1,3,23,Daily,1.0,>0.5,1,0,2,1
70192,40021129,HOME_RENT,1,2,Never,5,1,5,5,3,2,5,1,2,7,1.0,0.0,0.0,9,2,1,1,23,Daily,0.0,0,1,0,1,0
70199,40021269,HOME_RENT,5,4,Never,5,5,5,2,3,1,3,5,2,9,1.0,0.0,1.0,1,2,2,6,24,Daily,1.0,1,1,0,1,1
70200,40021272,HOME_OWN,4,3,Never,5,5,5,4,4,5,5,5,2,3,1.0,0.0,0.0,9,1,1,5,21,Daily,1.0,0,1,0,1,1
70215,40021498,HOME_RENT,3,3,Never,4,4,5,1,2,3,3,2,2,9,1.0,0.0,1.0,1,2,1,3,22,Daily,1.0,1,1,0,1,1
70216,40021517,HOME_OWN,5,2,Rarely,5,5,5,4,3,4,4,4,2,0,1.0,0.0,0.0,9,2,4,6,24,Daily,1.0,0,1,0,1,1
70227,40021646,HOME_RENT,1,4,Rarely,1,1,-9,NA,NA,NA,1,1,2,2,1.0,0.0,1.0,1,2,4,6,23,Daily,0.0,1,1,0,1,0
70230,40021663,HOME_RENT,4,3,Rarely,4,5,5,2,2,2,4,4,1,0,0.5,0.5,0.5,3,2,2,6,24,Daily,0.5,>0.5,>0.5,>0.5,2,1
70245,40021826,HOME_OWN,7,5,Never,5,5,5,2,2,5,5,5,1,0,1.0,0.0,0.0,10,2,4,6,22,Daily,1.0,0,1,0,2,1
70248,40021845,HOME_OWN,8,4,Never,4,5,5,3,1,4,4,4,2,6,1.0,0.0,1.0,1,2,4,6,23,Daily,1.0,1,1,0,1,1
70250,40021876,HOME_OWN,9,5,Never,5,5,5,2,3,5,5,5,1,10,0.6666666666666666,0.3333333333333333,0.6666666666666666,4,2,4,6,24,Daily,0.6666666666666666,>0.5,>0.5,<0.5,>2,1
70262,40022054,HOME_OWN,2,NA,Daily,-9,-9,-9,4,2,NA,1,4,2,6,1.0,0.0,0.0,9,2,1,1,23,Never,0.0,0,1,0,1,0
70263,40022063,HOME_OWN,5,2,Never,5,5,5,1,3,4,5,5,1,6,1.0,0.0,0.0,10,2,1,1,23,Daily,1.0,0,1,0,2,1
70265,40022076,HOME_OWN,7,4,Rarely,5,5,5,3,2,4,4,4,1,15,1.0,0.0,0.0,10,2,1,3,22,Rarely,1.0,0,1,0,2,1
70278,40022181,HOME_RENT,6,2,Never,4,2,2,2,2,2,5,1,2,2,1.0,0.0,0.0,1,1,1,5,21,Daily,1.0,0,1,0,1,1
70290,40022339,HOME_OWN,5,4,Never,4,5,5,2,3,4,4,4,2,2,1.0,0.0,0.0,1,2,4,6,24,Daily,1.0,0,1,0,1,1
70300,40022445,HOME_OWN,6,3,Never,5,5,5,3,3,5,5,5,1,3,1.0,0.0,0.5,10,2,1,1,23,Daily,1.0,>0.5,1,0,2,1
70313,40022596,HOME_OWN,9,5,Never,4,5,4,5,5,5,5,5,1,7,0.5,0.25,0.25,4,1,1,5,21,Daily,0.5,<0.5,>0.5,<0.5,>2,1
70321,40022723,HOME_RENT,1,5,Never,5,5,5,2,2,4,5,4,2,0,1.0,0.0,0.0,9,2,4,6,24,Never,1.0,0,1,0,1,1
70323,40022735,HOME_OWN,5,2,Never,5,5,4,2,2,2,3,3,2,5,1.0,0.0,1.0,1,2,1,1,23,Daily,1.0,1,1,0,1,1
70343,40022959,HOME_OWN,6,4,Rarely,5,5,5,4,4,4,5,5,1,5,1.0,0.0,1.0,2,2,1,3,23,Daily,1.0,1,1,0,2,1
70346,40022971,HOME_OWN,5,4,Rarely,5,5,5,2,2,4,4,5,1,28,0.8333333333333334,0.0,1.0,8,2,4,6,23,Daily,0.8333333333333334,1,>0.5,0,>2,1
70348,40022991,HOME_OWN,7,1,Never,4,3,3,1,1,2,5,2,2,2,1.0,0.0,0.0,1,1,1,5,21,Daily,1.0,0,1,0,1,1
70355,40023034,HOME_OWN,5,3,Rarely,5,5,5,3,3,3,3,3,1,1,1.0,0.0,0.0,10,2,4,6,23,Daily,0.5,0,1,0,2,1
70356,40023047,HOME_OWN,NA,5,Never,5,5,5,3,1,5,5,5,1,18,1.0,0.0,0.5,10,2,1,1,23,Daily,1.0,>0.5,1,0,2,1
70365,40023227,HOME_OWN,9,3,Rarely,4,5,4,4,2,4,4,4,1,32,0.4,0.0,0.4,6,2,4,6,24,Daily,0.4,<0.5,<0.5,0,>2,1
70368,40023275,HOME_OWN,7,4,Never,5,4,4,3,NA,4,4,4,1,5,1.0,0.0,1.0,2,1,1,2,21,Daily,1.0,1,1,0,2,1
70378,40023334,HOME_OWN,8,4,Never,5,5,4,2,2,3,3,3,1,11,1.0,0.0,0.6666666666666666,10,2,4,6,24,Daily,0.6666666666666666,>0.5,1,0,>2,1
70395,40023520,HOME_OWN,6,3,Never,5,5,5,4,4,4,4,4,1,8,1.0,0.0,0.0,8,1,1,5,21,Daily,1.0,0,1,0,>2,1
70400,40023631,HOME_OWN,11,4,Rarely,5,4,5,2,4,5,4,3,1,0,1.0,0.0,1.0,2,2,1,2,23,Daily,1.0,1,1,0,2,1
70402,40023635,HOME_RENT,2,5,Never,5,5,5,2,4,5,5,5,1,7,0.6666666666666666,0.3333333333333333,0.3333333333333333,4,2,1,3,22,Daily,0.3333333333333333,<0.5,>0.5,<0.5,>2,1
70414,40023750,HOME_OWN,3,2,Never,5,5,5,3,3,3,3,3,1,10,1.0,0.0,0.0,10,2,4,6,24,Daily,1.0,0,1,0,2,1
70419,40023811,HOME_OWN,6,1,Rarely,5,5,4,2,2,3,4,5,2,7,1.0,0.0,1.0,1,1,1,5,21,Daily,1.0,1,1,0,1,1
70437,40024030,HOME_OWN,4,4,Rarely,5,5,5,1,2,5,5,5,1,8,1.0,0.0,0.5,2,2,4,6,24,Daily,1.0,>0.5,1,0,2,1
70446,40024161,HOME_OWN,8,1,Never,5,4,4,1,1,1,3,3,1,11,1.0,0.0,0.0,10,1,1,5,21,Daily,1.0,0,1,0,2,1
70450,40024199,HOME_OWN,7,1,Never,4,4,4,1,1,2,5,2,1,18,0.5,0.0,0.25,6,1,1,5,21,Daily,0.5,<0.5,>0.5,0,>2,1
70466,40024482,HOME_RENT,1,1,Never,2,1,1,4,2,5,5,4,1,21,0.2,0.2,0.0,3,1,1,5,21,Daily,0.0,0,<0.5,<0.5,>2,0
70472,40024518,HOME_OWN,7,5,Never,5,5,5,5,5,5,5,5,2,4,1.0,0.0,0.0,9,2,4,6,23,Daily,1.0,0,1,0,1,1
70479,40024628,HOME_RENT,7,1,Never,4,4,3,5,4,2,3,4,1,10,1.0,0.0,1.0,2,1,1,5,21,Daily,1.0,1,1,0,2,1
70480,40024634,HOME_OWN,3,1,NA,5,4,5,5,3,4,4,4,1,7,1.0,0.0,1.0,2,2,4,6,23,Daily,1.0,1,1,0,2,1
70497,40024836,HOME_RENT,NA,1,Never,3,3,2,5,3,4,4,2,2,6,1.0,0.0,1.0,1,1,1,5,21,Daily,1.0,1,1,0,1,1
70508,40025010,HOME_OWN,1,4,Rarely,4,5,5,4,2,4,4,4,2,6,1.0,0.0,0.0,2,2,1,3,23,Daily,1.0,0,1,0,2,1
70529,40025217,HOME_OWN,11,2,Never,5,5,5,3,3,3,3,3,1,9,1.0,0.0,1.0,2,1,1,5,21,Never,1.0,1,1,0,>2,1
70539,40025419,HOME_OWN,8,4,Rarely,5,5,5,4,4,2,2,4,1,5,1.0,0.0,1.0,2,2,1,3,23,Daily,1.0,1,1,0,2,1
70546,40025509,HOME_OWN,7,5,Rarely,5,5,5,2,3,4,4,4,1,4,0.3333333333333333,0.16666666666666666,0.16666666666666666,4,2,1,3,22,Daily,0.5,<0.5,<0.5,<0.5,>2,1
70555,40025630,HOME_OWN,7,1,NA,-9,-9,1,4,3,4,4,4,2,7,1.0,0.0,0.0,9,1,1,5,21,Daily,1.0,0,1,0,1,1
70557,40025654,HOME_RENT,1,5,Never,5,5,5,1,3,3,3,3,2,0,1.0,0.0,0.0,1,2,1,1,23,Never,0.0,0,1,0,1,0
70558,40025669,HOME_OWN,7,4,Never,5,5,5,4,4,3,5,5,1,4,1.0,0.0,1.0,2,2,1,3,22,Daily,1.0,1,1,0,2,1
70559,40025682,HOME_OWN,6,3,Rarely,5,5,4,3,4,4,4,4,2,2,1.0,0.0,1.0,1,1,4,6,21,Daily,1.0,1,1,0,1,1
70562,40025708,HOME_OWN,6,2,Never,4,5,5,3,3,2,5,5,1,15,1.0,0.0,0.0,10,2,1,3,22,Daily,1.0,0,1,0,2,1
70563,40025737,HOME_RENT,1,1,Daily,5,5,5,5,2,1,1,5,2,6,1.0,0.0,0.0,1,2,1,1,23,Never,0.0,0,1,0,1,0
70569,40025862,HOME_RENT,5,1,NA,-9,-9,4,1,1,2,4,2,2,3,1.0,0.0,1.0,1,1,1,5,21,Daily,1.0,1,1,0,1,1
70581,40026082,HOME_OWN,NA,5,Never,5,5,5,2,3,4,4,5,2,0,1.0,0.0,0.0,1,2,2,6,22,Never,0.0,0,1,0,1,1
70608,40026427,HOME_OWN,9,3,Never,4,4,4,4,3,5,5,5,1,10,1.0,0.0,1.0,2,2,1,1,23,Daily,1.0,1,1,0,2,1
70620,40026671,HOME_OWN,2,2,Never,3,5,5,3,1,3,5,4,2,3,1.0,0.0,1.0,1,2,4,6,22,Daily,1.0,1,1,0,1,1
70627,40026767,HOME_OWN,11,1,Never,4,5,1,4,2,3,5,4,1,9,0.6666666666666666,0.0,0.3333333333333333,6,1,1,5,21,Daily,0.6666666666666666,<0.5,>0.5,0,>2,1
70639,40026926,HOME_RENT,1,5,Never,3,5,5,1,2,3,3,3,2,0,1.0,0.0,0.0,1,2,2,6,23,Rarely,0.0,0,1,0,1,0
70657,40027149,HOME_OWN,7,2,Rarely,5,5,5,5,3,4,4,4,1,4,1.0,0.0,1.0,2,2,2,6,24,Daily,1.0,1,1,0,2,1
70660,40027182,HOME_OWN,4,3,Rarely,5,5,5,2,4,3,3,4,2,3,1.0,0.0,0.5,10,2,1,2,23,Daily,0.5,>0.5,1,0,2,1
70662,40027216,HOME_RENT,4,5,Never,5,5,5,1,3,4,4,4,1,2,0.4,0.4,0.0,4,2,2,6,23,Daily,0.2,0,<0.5,<0.5,>2,1
70674,40027358,HOME_OWN,3,1,Rarely,5,5,5,1,1,1,5,5,1,6,1.0,0.0,0.5,2,2,4,6,24,Daily,0.5,>0.5,1,0,2,1
70678,40027428,HOME_OWN,2,5,Never,5,5,5,1,1,5,5,5,1,6,0.6666666666666666,0.3333333333333333,0.0,4,2,4,6,24,Never,0.6666666666666666,0,>0.5,<0.5,>2,1
70684,40027532,HOME_OWN,6,3,Rarely,5,5,5,4,4,4,4,4,1,4,1.0,0.0,0.0,2,2,1,3,22,Daily,1.0,0,1,0,2,1
70695,40027645,HOME_OWN,9,1,Rarely,5,5,4,2,2,3,4,3,1,13,1.0,0.0,1.0,2,1,4,6,21,Daily,1.0,1,1,0,2,1
70707,40027811,HOME_RENT,3,5,Never,5,5,5,1,1,4,4,4,1,6,1.0,0.0,0.5,10,2,2,6,24,Never,1.0,>0.5,1,0,2,1
70709,40027840,HOME_OWN,4,NA,NA,-9,-9,-9,4,4,4,4,4,2,0,1.0,0.0,0.0,9,2,4,6,24,NA,1.0,0,1,0,1,1
70715,40027952,HOME_OWN,NA,1,NA,-9,4,-9,2,2,1,NA,2,2,11,1.0,0.0,0.0,9,1,1,5,21,Never,1.0,0,1,0,1,1
70718,40027990,HOME_OWN,10,4,Never,5,5,4,5,4,5,5,5,1,12,1.0,0.0,1.0,8,2,1,3,22,Daily,1.0,1,1,0,>2,1
70726,40028130,HOME_OWN,5,3,Never,5,4,5,5,3,3,NA,1,1,1,1.0,0.0,0.0,10,1,4,6,21,Daily,1.0,0,1,0,2,1
70748,40028399,HOME_OWN,NA,1,Never,5,5,5,4,4,4,5,5,1,0,1.0,0.0,0.0,10,1,1,5,21,Daily,1.0,0,1,0,2,1
70770,40028710,HOME_OWN,7,4,Never,5,5,5,3,3,5,5,5,2,5,1.0,0.0,1.0,9,2,4,6,23,Rarely,1.0,1,1,0,1,1
70776,40028819,HOME_OWN,9,5,Never,5,5,5,1,2,3,3,3,2,6,1.0,0.0,0.0,9,2,4,6,24,Daily,1.0,0,1,0,1,1
70783,40028848,HOME_RENT,3,1,Never,5,4,5,3,2,1,5,3,2,10,1.0,0.0,0.0,1,2,2,6,23,Daily,1.0,0,1,0,1,1
70785,40028880,HOME_OWN,11,1,Never,3,5,1,5,3,4,5,4,1,16,0.5,0.5,0.25,4,1,1,5,21,Daily,0.5,<0.5,>0.5,>0.5,>2,1
70789,40028939,HOME_OWN,10,4,Never,5,5,5,1,2,5,5,5,1,7,1.0,0.0,1.0,2,2,4,6,23,Daily,1.0,1,1,0,>2,1
